ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1984-11-01,1.979,-0.66,-0.99,-0.92,1.18,-0.94,-0.2,0.39,0.16
1984-12-01,-1.5960000000000003,-0.62,-1.27,-1.14,0.06,0.030000000000000027,-0.09,-1.9,0.6
1985-01-01,-9.299,-0.19,-1.26,-1.04,-0.34,1.0,-2.38,1.44,-0.61
1985-02-01,-6.971,-0.95,-0.9,-0.85,0.38,-2.41,-1.0,-0.99,-1.12
1985-03-01,-1.5670000000000002,-0.72,-0.78,-0.77,0.18,-0.67,-0.19,-1.19,1.81
1985-04-01,6.9350000000000005,-1.08,-1.05,-0.78,0.48,-1.64,0.2,-1.27,-0.53
1985-05-01,12.698,-0.5,-1.07,-0.78,-0.14,-0.31,-0.4,-0.82,0.72
1985-06-01,14.654000000000002,-0.11,-1.02,-0.63,1.06,-0.75,-0.5,1.28,0.37
1985-07-01,18.866,-0.22,-1.1,-0.49,1.71,1.93,1.25,-0.19,0.24
1985-08-01,18.006,-0.64,-0.88,-0.46,0.63,1.15,-0.74,-0.53,0.31
1985-09-01,16.015,-0.29,-0.86,-0.4,0.54,-0.22,-0.36,-0.63,-0.4
1985-10-01,8.807,-0.01,-0.8,-0.35,1.69,-0.75,1.49,-1.5,0.09
1985-11-01,1.984,-0.02,-0.7,-0.27,-0.88,1.25,-0.84,-1.83,-0.97
1985-12-01,-6.5600000000000005,-0.21,-0.73,-0.36,-0.05,0.885,0.11,1.08,-0.96
1986-01-01,-7.2959999999999985,-0.73,-0.8,-0.49,-1.11,0.52,0.78,0.6,-0.36
1986-02-01,-7.665,0.26,-0.53,-0.47,-0.07,0.83,-1.58,0.41,-1.97
1986-03-01,-0.631,-0.29,-0.37,-0.31,1.35,0.07,1.39,0.51,-1.16
1986-04-01,7.244,-0.29,-0.38,-0.2,-1.62,-1.56,-0.79,-0.15,0.04
1986-05-01,13.913,0.05,-0.6,-0.12,0.72,-1.17,0.84,-0.03,0.28
1986-06-01,15.72,-0.31,-0.45,-0.04,-0.19,0.23,1.54,0.39,-0.08
1986-07-01,20.08,0.2,-0.14,0.22,0.87,-0.35,0.15,-0.35,-0.04
1986-08-01,17.542,0.59,0.17,0.44,0.8,2.55,-1.53,-1.49,-0.65
1986-09-01,14.292000000000002,0.76,0.3,0.71,1.96,0.87,-0.95,-0.28,0.69
1986-10-01,8.097000000000001,0.3,0.53,0.94,1.19,1.35,2.2,1.18,-0.27
1986-11-01,0.3450000000000002,1.35,0.78,1.14,-0.05,1.54,2.27,-0.71,-0.56
1986-12-01,-2.9730000000000003,1.31,0.92,1.22,1.42,0.3999999999999999,0.83,1.06,-0.17
1987-01-01,-6.087999999999999,0.99,1.02,1.23,0.82,-0.74,-1.85,0.63,1.57
1987-02-01,-6.95,1.42,1.14,1.19,-0.03,-0.49,-1.27,0.57,0.37
1987-03-01,0.028000000000000025,1.71,1.0,1.06,0.48,0.73,-0.26,0.85,0.22
1987-04-01,8.062000000000001,1.84,0.77,0.95,1.85,-0.68,2.03,1.54,0.48
1987-05-01,13.804,1.97,0.89,0.97,-0.18,-0.26,0.96,-1.02,1.77
1987-06-01,18.320999999999998,2.08,0.86,1.22,-0.96,-1.09,-1.53,0.56,1.73
1987-07-01,21.439,2.1,1.11,1.51,-0.71,0.94,0.55,-0.43,0.6
1987-08-01,18.745,1.87,1.45,1.7,-0.98,0.97,-1.19,0.74,-0.49
1987-09-01,15.259,1.68,1.66,1.65,1.7,0.49,-1.04,-2.6,1.44
1987-10-01,6.367000000000001,1.14,1.16,1.48,-2.46,1.2,0.66,0.75,0.93
1987-11-01,2.3840000000000003,0.74,0.99,1.25,0.17,-0.67,0.06,1.19,0.15
1987-12-01,-1.8800000000000003,0.9,1.0,1.11,1.22,0.22999999999999987,0.21,0.5,1.75
1988-01-01,-7.053,0.54,0.68,0.81,-1.09,1.13,0.68,0.03,1.83
1988-02-01,-8.03,0.54,-0.01,0.54,-1.44,-0.13,0.42,1.37,0.3
1988-03-01,-2.52,0.18,-0.15,0.14,-2.23,0.26,-0.58,0.38,0.53
1988-04-01,5.041,-0.31,-0.65,-0.31,0.39,-0.63,-1.42,1.12,-0.2
1988-05-01,13.662,-1.3,-1.57,-0.88,-1.03,-1.16,0.64,0.61,-0.15
1988-06-01,16.485,-1.11,-2.18,-1.3,-1.14,-0.93,1.19,1.31,-0.25
1988-07-01,21.75800000000001,-1.61,-2.06,-1.3,-0.73,0.1,-0.32,1.6,-1.47
1988-08-01,20.366,-1.64,-1.48,-1.11,0.54,0.44,-0.07,-0.62,0.78
1988-09-01,14.482000000000001,-1.71,-1.09,-1.19,0.39,-0.19,-0.82,-0.97,-0.83
1988-10-01,5.786000000000001,-1.86,-1.55,-1.48,0.19,0.99,-0.66,0.89,-0.56
1988-11-01,3.5540000000000003,-2.06,-1.67,-1.8,1.19,-1.31,-0.49,0.11,-0.96
1988-12-01,-4.752,-1.47,-1.61,-1.85,0.75,-1.56,0.48,0.33,-0.67
1989-01-01,-4.136,-1.55,-1.44,-1.69,1.14,-1.81,0.85,-1.57,1.26
1989-02-01,-8.464,-1.23,-0.96,-1.43,-0.23,2.34,1.82,-1.71,0.53
1989-03-01,-3.892,-1.14,-1.01,-1.08,-0.28,0.6,1.54,-1.56,-1.98
1989-04-01,3.5950000000000006,-1.66,-0.86,-0.83,-1.11,1.29,0.16,-0.77,-0.28
1989-05-01,12.201,-1.26,-0.83,-0.58,-0.04,0.45,1.33,-0.04,0.36
1989-06-01,17.516,-0.74,-0.32,-0.4,-1.2,0.09,0.03,-0.56,-0.62
1989-07-01,20.667,-0.64,-0.45,-0.31,-2.04,-1.23,1.0,-0.59,0.89
1989-08-01,18.831,-0.04,-0.4,-0.27,0.05,1.32,-0.11,-0.27,2.52
1989-09-01,14.584000000000001,-0.4,-0.3,-0.24,-1.12,0.66,2.15,0.41,0.44
1989-10-01,8.92,-0.51,-0.4,-0.22,0.99,0.0,0.48,-1.08,1.5
1989-11-01,0.20400000000000013,0.06,-0.59,-0.16,0.55,-0.04,0.03,-0.7,-0.47
1989-12-01,-11.593,0.27,-0.38,-0.05,0.07,-0.30999999999999994,-1.15,0.57,-1.98
1990-01-01,-2.5779999999999994,0.15,-0.29,0.14,0.18,-0.58,0.7,-1.09,1.37
1990-02-01,-5.1720000000000015,1.12,0.01,0.21,-0.14,-1.86,1.16,-2.78,0.24
1990-03-01,-0.266,0.61,-0.28,0.28,-0.03,0.03,1.13,0.04,-0.13
1990-04-01,7.275,0.32,-0.1,0.29,-1.11,1.72,2.03,-0.62,-0.84
1990-05-01,10.798,-0.29,0.16,0.29,2.25,0.21,-1.37,0.27,0.17
1990-06-01,17.268,0.12,-0.04,0.31,-0.54,0.71,0.29,-1.39,0.77
1990-07-01,19.426,0.03,0.01,0.33,0.54,0.88,0.56,-0.26,0.42
1990-08-01,19.05,0.47,0.11,0.38,0.45,-0.39,1.12,1.76,0.59
1990-09-01,14.28,0.55,0.12,0.39,0.33,0.78,1.18,-0.46,0.68
1990-10-01,8.052000000000001,0.17,-0.14,0.35,0.66,-0.43,0.76,-0.91,0.11
1990-11-01,3.571,0.4,-0.2,0.4,1.24,-0.76,-0.39,-1.66,0.59
1990-12-01,-2.7260000000000004,0.4,-0.08,0.41,-0.63,-0.605,0.11,-1.62,0.61
1991-01-01,-7.705,0.12,0.13,0.41,0.93,-0.45,0.49,0.2,-1.3
1991-02-01,-4.211,0.23,0.0,0.26,-0.67,0.31,0.74,1.13,-0.78
1991-03-01,-0.4490000000000003,0.64,-0.16,0.22,0.3,-0.38,-0.61,-1.21,1.83
1991-04-01,7.622000000000001,0.86,-0.05,0.26,-1.28,-0.14,0.17,0.38,0.7
1991-05-01,15.615,1.37,0.24,0.45,-0.81,-1.13,0.12,-0.63,0.56
1991-06-01,19.029,0.94,0.68,0.64,-1.17,1.02,-0.52,-0.92,0.63
1991-07-01,20.075,0.71,0.83,0.73,1.35,-0.58,-0.46,0.28,-1.73
1991-08-01,20.03,0.82,0.51,0.64,0.43,-0.81,1.46,-0.28,-1.15
1991-09-01,13.911,1.02,0.36,0.62,0.48,1.2,0.61,1.15,-0.58
1991-10-01,9.346,1.28,0.61,0.79,-0.86,1.24,0.3,-2.35,-0.32
1991-11-01,1.238,1.0,0.95,1.21,-0.69,1.01,0.37,0.22,-0.94
1991-12-01,-3.96,1.82,1.25,1.53,1.99,0.42000000000000004,0.34,0.17,0.29
1992-01-01,-6.148,2.12,1.37,1.71,2.49,-0.17,-0.66,0.99,0.35
1992-02-01,-5.58,1.51,1.27,1.63,0.92,0.7,0.77,0.09,-0.81
1992-03-01,-3.1660000000000004,2.22,1.05,1.48,-0.7,1.28,0.51,0.46,1.12
1992-04-01,4.17,2.05,1.17,1.29,0.77,1.46,1.88,-0.29,-0.62
1992-05-01,12.138,1.19,1.19,1.06,1.53,1.02,2.49,1.2,-0.21
1992-06-01,15.105,1.18,0.55,0.73,1.55,-0.14,0.51,1.36,-0.17
1992-07-01,16.747,0.69,-0.06,0.37,1.15,1.83,0.19,0.38,1.17
1992-08-01,16.709,-0.08,-0.08,0.09,0.99,0.43,0.97,-0.37,1.19
1992-09-01,14.331,-0.02,-0.07,-0.13,-1.4,-0.87,-0.28,-1.13,-1.02
1992-10-01,6.511000000000001,0.75,-0.34,-0.25,1.53,0.59,-1.4,0.4,0.81
1992-11-01,1.41,0.36,-0.46,-0.28,0.13,0.3,1.12,0.8,1.26
1992-12-01,-2.7550000000000003,0.41,-0.36,-0.13,0.36,-0.175,0.35,-1.53,0.08
1993-01-01,-5.5749999999999975,0.59,-0.11,0.09,0.64,-0.65,1.35,-1.48,-0.22
1993-02-01,-10.359000000000002,0.74,0.39,0.3,1.83,2.12,0.12,0.44,0.24
1993-03-01,-3.342,0.81,0.4,0.5,0.43,0.21,0.3,0.94,-0.48
1993-04-01,5.392,1.71,0.84,0.67,0.39,0.71,0.91,1.26,-1.67
